PubmedID,Title,Publication Date,Non-Academic Authors,Company Affiliations,Corresponding Author Email
40152921,Compositional editing of extracellular matrices by CRISPR/Cas9 engineering of human mesenchymal stem cell lines.,2025,Deepak Bushan Raina,N/A,N/A
40152855,Photodynamic and Photothermal Co-Induced Efficient Anti-Tumor Immunotherapy.,2025,N/A,"School of Pharmacy, Shandong Second Medical University, Weifang 261053, People's Republic of China., School of Pharmacy, Shandong Second Medical University, Weifang 261053, People's Republic of China., School of Pharmacy, Shandong Second Medical University, Weifang 261053, People's Republic of China., School of Pharmacy, Shandong Second Medical University, Weifang 261053, People's Republic of China., School of Pharmacy, Shandong Second Medical University, Weifang 261053, People's Republic of China., School of Pharmacy, Shandong Second Medical University, Weifang 261053, People's Republic of China., School of Pharmacy, Shandong Second Medical University, Weifang 261053, People's Republic of China., School of Pharmacy, Shandong Second Medical University, Weifang 261053, People's Republic of China.",N/A
40152846,The Use of Virtual Reality for 3D Diagnostic Imaging Review Enhances Understanding and Education of Patients with Cancer.,2025,N/A,N/A,N/A
40152831,Safety and Feasibility of Pulsed Electric Field Ablation for Early-Stage Non-Small Cell Lung Cancer Prior to Surgical Resection.,2025,"Javier Flandes, Jeffrey S Iding, Borja Recalde-Zamacona","Galvanize Therapeutics Inc., San Carlos, California, USA., Galvanize Therapeutics Inc., San Carlos, California, USA., Galvanize Therapeutics Inc., San Carlos, California, USA., Galvanize Therapeutics Inc., San Carlos, California, USA., Galvanize Therapeutics Inc., San Carlos, California, USA.",N/A
40152813,CT Scans Understage Lymph Nodes in Gastric and Gastroesophageal Adenocarcinoma.,2025,N/A,N/A,N/A
40152804,Early Detection of Local Recurrence After Rectal Cancer Resection in Asymptomatic Patients Is Essential for Survival.,2025,N/A,N/A,N/A
40152796,Determining health care cost drivers in older Hodgkin lymphoma survivors using interpretable machine learning methods.,2025,N/A,"Department of Pharmaceutical Systems and Policy, School of Pharmacy, West Virginia University, Morgantown., Department of Pharmaceutical Systems and Policy, School of Pharmacy, West Virginia University, Morgantown., Department of Pharmaceutical Systems and Policy, School of Pharmacy, West Virginia University, Morgantown., Department of Pharmaceutical Systems and Policy, School of Pharmacy, West Virginia University, Morgantown., Department of Pharmaceutical Systems and Policy, School of Pharmacy, West Virginia University, Morgantown., Department of Pharmaceutical Systems and Policy, School of Pharmacy, West Virginia University, Morgantown.",N/A
40152791,"A phase 1, first-in-human, dose-escalation, expansion trial of cytokine encoding synthetic mRNA-mixture alone or with cemiplimab in advanced solid tumors.",2025,"Oliver Bechter, Jean-Francois Baurain, Jochen Utikal, Alfonso Berrocal, Ana Arance, Miguel F Sanmamed, Brian Gastman, Ugur Sahin, Özlem Türeci, Patrick Brueck, Giovanni Abbadessa, Rahul Marpadga, Helen Lee, Yue Yang, Barbara Buday, Gianfranco Di Genova, Hong Wang, Binfeng Xia, Joon Sang Lee, Céleste Lebbe",N/A,N/A
40152788,A critical evaluation of rodent carcinogenicity studies on butyl methacrylate demonstrates a lack of carcinogenic potential.,2025,"Joseph K Haseman, B Bhaskar Gollapudi","Elmore Pathology LLC, Chapel Hill, NC, USA., Systox Ltd., Sutton, Cheshire, UK.",N/A
40152751,Establishing and validating models integrated with hematological biomarkers and clinical characteristics for the prognosis of non-esophageal squamous cell carcinoma patients.,2025,N/A,N/A,N/A
